Repository Name,Stars,Forks,Total Issues,Total Pull Requests,Total Files,Lines of Code,Contributors,Open Issues,Closed Issues,Issue Resolution Ratio (%)
geekan/MetaGPT,51546,6082,88,936,1251,179975,116,88,1642,94.9132948
bigskysoftware/htmx,43859,1418,611,1327,644,326626,401,611,2209,78.33333333
isocpp/CppCoreGuidelines,43389,5461,256,1045,48,150603,318,256,1986,88.58162355
react-hook-form/react-hook-form,42615,2144,77,2495,456,78515,314,77,7085,98.92488132
VSCodium/vscodium,26584,1196,125,571,318,76280,108,125,1838,93.63219562
deezer/spleeter,26501,2892,257,126,76,11464,15,257,654,71.78924259
t3-oss/create-t3-app,26542,1250,87,1356,537,63700,330,87,1978,95.78692494
ossrs/srs,26501,5453,250,794,5613,1898918,100,250,2007,88.92334958
microsoft/cascadia-code,26562,819,145,127,13072,1021989,19,145,622,81.09517601
remy/nodemon,26474,1735,8,535,413,58482,162,8,2199,99.63751699
duckdb/duckdb,27345,2149,423,8089,13641,2880164,341,423,13291,96.91556074
rxhanson/Rectangle,26602,812,97,275,272,52815,127,97,847,89.72457627
crewAIInc/crewAI,28267,3828,167,953,604,225909,207,167,1969,92.18164794
vuejs/vuex,28452,9564,144,983,239,30763,308,144,2105,93.59715429
pmndrs/react-spring,28533,1199,117,598,866,243576,176,117,1726,93.65165491
derailed/k9s,28902,1819,636,1222,991,267175,299,636,2558,80.08766437
unslothai/unsloth,34563,2592,916,416,68,92842,32,916,1066,53.78405651
mpv-player/mpv,29967,2996,934,5219,865,308362,275,934,14571,93.97613673
composer/composer,28878,4603,127,4057,997,153550,384,127,11731,98.92899308
siyuan-note/siyuan,33138,2026,323,514,1935,972239,71,323,13965,97.7393617
numpy/numpy,29004,10568,2221,15269,2277,892085,434,2221,26215,92.18947813
simonbengtsson/jsPDF-AutoTable,2388,633,33,138,59,66845,48,33,1043,96.9330855
fastapi/full-stack-fastapi-template,31076,5696,185,617,210,34044,63,185,854,82.19441771
foundation/foundation-sites,29734,5470,60,4106,796,292482,333,60,12275,99.51357925
vuejs/vue-cli,29763,6331,1072,1815,1034,237633,454,1072,6238,85.33515732
unclecode/crawl4ai,33241,2844,93,121,275,201914,31,93,540,85.30805687
sequelize/sequelize,29846,4290,953,6735,897,186076,375,953,16152,94.42852967
vercel/swr,31150,1262,159,956,294,29566,184,159,1736,91.60949868
gchq/CyberChef,30576,3411,515,779,852,215535,156,515,1282,71.3411241
outline/outline,30979,2456,118,3180,1919,308902,181,118,6237,98.14319434
hashicorp/vagrant,26539,4446,754,3894,2518,308650,365,754,12708,94.39904918
academic/awesome-datascience,25908,6021,0,400,11,6907,233,0,461,100
Modernizr/Modernizr,25719,2979,192,1239,481,61762,277,192,2542,92.9773226
refined-github/refined-github,26007,1526,122,3879,499,83936,345,122,8105,98.51707791
fyne-io/fyne,25946,1422,708,2316,1834,348810,176,708,4613,86.69423041
iced-rs/iced,25954,1249,362,1294,526,145965,256,362,2098,85.28455285
opendatalab/MinerU,28234,2188,113,708,813,813941,34,113,1732,93.87533875
discordjs/discord.js,25765,3990,104,5892,1462,211784,360,104,9843,98.95445863
anoma/anoma,27196,3800,182,1158,317,93005,15,182,1608,89.83240223
google/material-design-lite,32289,5009,421,1199,484,355837,163,421,2968,87.57745648
nodejs/node,110139,30978,2135,36276,41819,12503495,430,2135,53022,96.1292311
